Ticker,pick_prob_up,pick_score,start_close,end_close_5d,forward_return_5d_pct,hit,model,feature_set,pick_date
ACA.PA,91.72919797753072,73.8,15.85,,,,lightgbm,interactions,2026-03-30
ANTO.L,91.87980696210649,71.7,3161.0,,,,lightgbm,base,2026-03-30
ANTO.L,93.06714939503169,73.7,3161.0,,,,lightgbm,interactions,2026-03-30
DBK.DE,82.88397466851437,70.2,25.01,,,,catboost,base,2026-03-30
DBK.DE,83.32484436646196,72.1,25.01,,,,catboost,interactions,2026-03-30
DBK.DE,91.00023564162896,71.4,25.01,,,,lightgbm,base,2026-03-30
DBK.DE,91.43407455190253,73.0,25.01,,,,lightgbm,interactions,2026-03-30
GOOGL,77.85649510223621,70.0,274.189911,,,,catboost,interactions,2026-03-30
META,74.82076598552679,70.1,537.505005,,,,catboost,base,2026-03-30
MSFT,87.46588286432599,71.1,361.230011,,,,lightgbm,interactions,2026-03-30
NVDA,85.12242807875843,73.4,166.669998,,,,lightgbm,interactions,2026-03-30
NVDA,75.41211247444153,70.0,166.719894,,,,xgboost,interactions,2026-03-30
NVDA,78.79663705825806,72.4,166.735001,,,,xgboost,base,2026-03-30
NVDA,87.40975749386443,76.1,166.809998,,,,lightgbm,base,2026-03-30
SAP.DE,83.71968457364065,70.2,147.020004,,,,catboost,base,2026-03-30
UNH,88.97693527648117,70.7,259.88501,,,,lightgbm,interactions,2026-03-30
UNH,86.86486465563222,71.8,259.895508,,,,lightgbm,base,2026-03-30
UNH,87.29769736896102,71.9,260.334991,,,,catboost,base,2026-03-30
