Ticker,Reason,model,feature_set
SMDS.L,No price data found,,
ASR.L,No price data found,,
CINE.L,No price data found,,
DARK.L,No price data found,,
EKT.L,No price data found,,
GIL.L,No price data found,,
SPT.L,No price data found,,
UBM.L,No price data found,,
SXS.L,No price data found,,
MMC,No price data found,,
DFS,No price data found,,
DPW.DE,No price data found,,
STLA.PA,No price data found,,
DSM.AS,No price data found,,
STM.MI,No price data found,,
EQUINOR.OL,No price data found,,
AIB.IR,No price data found,,
PROSUS.AS,No price data found,,
EDF.PA,No price data found,,
JDE.AS,No price data found,,
REE.MC,No price data found,,
WHR.L,No price data found,,
PCH,No price data found,,
MMC,No price data found,xgboost,base
DPW.DE,No price data found,xgboost,base
STLA.PA,No price data found,xgboost,base
MMC,No price data found,xgboost,interactions
DPW.DE,No price data found,xgboost,interactions
STLA.PA,No price data found,xgboost,interactions
MMC,No price data found,catboost,base
DPW.DE,No price data found,catboost,base
STLA.PA,No price data found,catboost,base
MMC,No price data found,catboost,interactions
DPW.DE,No price data found,catboost,interactions
STLA.PA,No price data found,catboost,interactions
MMC,No price data found,lightgbm,base
DPW.DE,No price data found,lightgbm,base
STLA.PA,No price data found,lightgbm,base
MMC,No price data found,lightgbm,interactions
DPW.DE,No price data found,lightgbm,interactions
STLA.PA,No price data found,lightgbm,interactions
