Ticker,Latest Price ($),Daily Return,Volatility,Predicted Prob Up (%),Accuracy (%),Precision (%),Recall (%),F1 Score (%),RSI_14,Top Features,Score,Rating,Model
AFRM,42.529998779296875,-0.030102616664929638,0.036771563495635144,93.03764114035901,56.421052631578945,56.1682665160926,40.46653417504482,44.73015873015872,27.227711242049295,"Trend_MA50, Volatility_30, Momentum_20",79.3,Top Ranked,catboost
ALFA.L,142.39999389648438,-0.029972813786128483,0.025144255390007534,92.8268047845927,66.04166666666667,40.888461538461534,28.27342524710945,32.92156119742326,1.4285764888827543,"Trend_MA50, Volatility_30, RSI_14",75.5,Top Ranked,catboost
TEAM,65.12000274658203,-0.044180164805230904,0.04234267414034568,92.87514629359819,57.89473684210526,43.96001183638882,36.429059829059824,36.570169903709605,21.360863211691736,"Volatility_30, Trend_MA50, Momentum_20",75.2,Top Ranked,catboost
III.L,2323.0,0.010439321444106087,0.03882012050469429,93.6094779645367,52.5,39.92261904761905,50.5337447970367,41.13209313209313,22.74368231046931,"Volatility_30, Trend_MA50, Return_10d",74.1,Top Ranked,catboost
PST.MI,19.795000076293945,0.0007583108760236268,0.01776535492543225,87.97078350092589,58.33333333333333,48.4217032967033,20.89698670796232,27.38180277630891,28.66242595355301,"Volatility_30, Trend_MA50, Momentum_20",73.1,Top Ranked,catboost
IR,79.44999694824219,-0.023835882245417328,0.01919213256261448,86.24589651538288,58.73684210526316,44.047941066444125,37.012696502676604,38.44644694348845,29.713002843953518,"Volatility_30, Trend_MA50, RSI_14",73.0,Top Ranked,catboost
WEIR.L,2754.0,-0.010775862068965525,0.028639629149258782,94.41004847866944,61.041666666666664,49.39985306885727,28.870226493439283,35.79338175948345,39.74668247263687,"Volatility_30, Trend_MA50, Momentum_20",72.7,Top Ranked,catboost
CRWD,369.5799865722656,-0.05868271822998983,0.037292327943394946,86.12829659200848,51.78947368421052,45.89064039408866,34.29523809523809,36.997653554175294,24.568585435389465,"Volatility_30, Return_10d, Momentum_20",71.8,Top Ranked,catboost
SAP.DE,142.55999755859375,-0.014380543693527925,0.01823041496923305,92.76415312505334,52.57731958762887,38.15595238095238,33.80295273804402,29.955579953795826,7.033980773565261,"Volatility_30, Trend_MA50, Momentum_20",71.7,Top Ranked,catboost
EL.PA,194.8000030517578,0.0025733401551559787,0.019040863631210703,88.61855739584739,59.175257731958766,37.096340175414426,46.58130081300813,34.14775977354899,27.11864406779661,"Volatility_30, Momentum_20, Trend_MA50",71.7,Top Ranked,catboost
APP,381.20001220703125,-0.0255872280020647,0.04877212538271005,76.22584586136837,51.157894736842096,58.12779892521272,34.284166191168865,39.969744933972144,16.968591694999148,"Volatility_30, RSI_14, Trend_MA50",71.2,Top Ranked,catboost
AVB,160.80999755859375,-0.015910935960149586,0.009937965574329166,90.93254466076225,61.473684210526315,36.89258489258489,25.55948775174026,21.36046511627907,16.427356782974087,"Trend_MA50, Volatility_30, Return_10d",71.1,Top Ranked,catboost
TOL,131.1199951171875,-0.015837278976324587,0.0192988173125877,78.96374376958919,57.684210526315795,45.84409941128453,44.01597570857045,43.40530289194081,29.902064821717673,"Volatility_30, Trend_MA50, Momentum_20",71.1,Top Ranked,catboost
RBLX,52.310001373291016,-0.028597904261225993,0.03246925498333657,83.7271691689515,49.263157894736835,49.324134512104436,35.17055048969943,35.75135662459606,27.96248457494491,"Volatility_30, Trend_MA50, Momentum_20",71.0,Top Ranked,catboost
META,525.719970703125,-0.03985098476796356,0.0219748919482953,77.91508867289177,56.59574468085107,47.331748384379964,39.18356835812924,41.92503763646074,17.783192923118293,"Volatility_30, Trend_MA50, Momentum_20",70.6,Top Ranked,catboost
NOW,99.41000366210938,-0.04081431640727662,0.02776216272019888,90.18137445981354,55.36842105263158,35.72743703336302,28.050716094943983,29.342521367521368,15.160895953422923,"Volatility_30, Trend_MA50, Momentum_20",70.5,Top Ranked,catboost
DHR,181.52000427246094,-0.034724800177214576,0.01644255607347509,87.12168707527694,59.78947368421052,35.657866591612716,26.620365820365816,29.866215139889892,27.546803350585364,"Volatility_30, Trend_MA50, Momentum_20",70.2,Top Ranked,catboost
INTU,416.44000244140625,-0.03724421640551112,0.03200897956368716,81.82581297970003,58.315789473684205,40.72888667662187,41.70831201319005,36.952364985395015,29.169387153467,"Volatility_30, Trend_MA50, RSI_14",70.1,Top Ranked,catboost
REL.L,2393.0,-0.00208507089241039,0.021616548101216267,85.27427919803364,60.0,33.36056214317084,42.71503496503497,35.016941260254455,16.445623342175068,"Trend_MA50, Volatility_30, Momentum_20",69.7,Above Average,catboost
GOOGL,274.3399963378906,-0.023423098303163248,0.016403133847597166,78.04842306396844,57.26315789473684,50.54195804195804,21.088689665587804,27.181042436442453,21.951679828742414,"Volatility_30, Return_10d, Trend_MA50",69.4,Above Average,catboost
HWM,227.89999389648438,-0.011322722105544858,0.018813968053992935,68.12103209238003,58.526315789473685,56.47285484242006,34.263966467564536,42.02482060677441,27.534221914723673,"Volatility_30, Trend_MA50, RSI_14",69.4,Above Average,catboost
HUBS,230.7899932861328,-0.05826912152164743,0.0429439294765623,75.80707038473449,57.05263157894738,45.331581462016246,41.26046852622246,40.25864331746685,19.88826181826289,"Volatility_30, Trend_MA50, Momentum_20",69.1,Above Average,catboost
KGF.L,274.8999938964844,-0.013988500958545314,0.020289475769059536,87.94948235357282,52.5,33.70780909911345,37.364748252745684,32.85538852904601,22.36108668055499,"Volatility_30, Trend_MA50, Momentum_20",69.0,Above Average,catboost
BAB.L,1155.0,-0.04702970297029707,0.022836745020406116,84.38594399625174,51.458333333333336,42.47576021769571,24.553067436903735,27.81756193728025,21.497584541062807,"Volatility_30, Trend_MA50, Momentum_20",68.8,Above Average,catboost
MSFT,356.7699890136719,-0.02513870584021738,0.014084489102189564,85.13819505571871,57.473684210526315,33.18746438746439,40.58497870692993,32.576390022464224,8.681354691461422,"Volatility_30, Trend_MA50, Return_10d",68.7,Above Average,catboost
CCS,55.470001220703125,-0.03244375633953023,0.017381683032971836,84.51520870680994,59.578947368421055,35.219138755980865,24.054819976771196,27.747286391862605,27.19920697522376,"Volatility_30, Momentum_20, Trend_MA50",68.7,Above Average,catboost
NVDA,167.52000427246094,-0.02172390271764868,0.021827724445506215,80.42119946345552,56.421052631578945,53.01557184497294,42.51381147033321,45.24518241447284,31.399077569203882,"Volatility_30, Trend_MA50, Momentum_20",68.5,Above Average,catboost
DE,566.6400146484375,-0.025034821197626567,0.026360488931373098,78.5761255037397,66.94736842105263,52.22077922077922,29.410120922316043,36.109675715679,32.15609906225417,"Volatility_30, Trend_MA50, Momentum_20",68.3,Above Average,catboost
DASH,146.60000610351562,-0.03527244257394757,0.030371267485511857,71.96818273905188,56.63157894736842,49.17857142857143,29.224151979564557,34.663153388718584,22.008583891474274,"Volatility_30, Trend_MA50, Momentum_20",67.6,Above Average,catboost
KBH,50.90999984741211,-0.019264111017905372,0.018753011071797242,85.06290905690759,54.94736842105262,32.817192231692914,29.764579248837116,28.62842484505714,27.463299850530987,"Volatility_30, Return_10d, Volume_MA_Ratio",67.5,Above Average,catboost
VICI,26.610000610351562,-0.02025034021172689,0.012936154982816327,79.93078161693983,68.84210526315789,32.70676691729322,19.127712104118636,23.807215007215007,20.68966317695397,"Volatility_30, Momentum_20, RSI_14",67.5,Above Average,catboost
