Ticker,Latest Price ($),Daily Return,Volatility,Predicted Prob Up (%),Accuracy (%),Precision (%),Recall (%),F1 Score (%),RSI_14,Top Features,Score,Rating,Model,Feature_Set
NG.L,1130.5,0.0017722640673460965,0.010012871991894509,87.08893212216918,61.875,41.15476190476191,32.70866970866971,31.513802639409107,30.985915492957744,"Volatility_30, RSI_14, Trend_MA50",67.2,Above Average,catboost,base
CNA.L,150.89999389648438,-0.00033125573215453397,0.009892277721424427,86.5824038038361,62.708333333333336,47.42124542124542,35.32086874573106,38.56329037019036,41.42857142857144,"Trend_MA50, Volatility_30, Return_10d",64.8,Above Average,catboost,base
FRES.L,3014.0,0.018587360594795488,0.028749078033694322,77.98880926009699,50.0,51.03738439104293,33.3308031892373,37.888359512643,35.25179856115108,"Volatility_30, Trend_MA50, Momentum_20",64.6,Above Average,catboost,base
HO.PA,226.8000030517578,0.007552185260538913,0.014104520862372447,83.91747140974635,53.81443298969073,26.43863724351529,21.13858363858364,22.586426422306445,5.7238960367731835,"Volatility_30, Trend_MA50, Momentum_20",64.3,Above Average,catboost,base
NXT.L,14685.0,-0.015420717398592076,0.015272676453218954,70.24371230525742,63.333333333333336,46.94206131320065,42.00274165791407,40.80654992213847,35.64593301435406,"Volatility_30, Momentum_20, Trend_MA50",63.6,Above Average,catboost,base
AON,302.69000244140625,-0.016505789237429402,0.021530082708986896,68.84037673425864,62.94736842105264,35.816692268305175,26.46510547782136,28.871046312081894,22.968249262082864,"Volatility_30, Trend_MA50, RSI_14",63.4,Above Average,catboost,base
LLY,1115.699951171875,-0.006500488716050801,0.020593514579490706,65.80128561314001,54.526315789473685,42.32147562582345,28.182733255903987,32.5253933712075,2.4829288263054394,"Volatility_30, Trend_MA50, Momentum_20",62.7,Above Average,catboost,base
DG.PA,111.44999694824219,0.008141057183535416,0.012343461037432007,61.93449295614606,61.44329896907217,39.61938989802767,34.54248366013072,33.65639687760266,29.610357594959282,"Momentum_20, Volatility_30, Trend_MA50",62.0,Above Average,catboost,base
HLN.L,333.79998779296875,-0.007138680329923819,0.012250742545300786,60.586299954148735,63.958333333333336,38.11597174755069,33.490380587154775,35.62841530054645,23.978649604273983,"Volatility_30, Trend_MA50, Return_10d",61.9,Above Average,catboost,base
SPGI,410.7099914550781,0.000706539685825458,0.01692906532450895,66.78161294826026,62.94736842105264,44.94690749863163,33.78268588137009,35.48620722619152,39.489262110246116,"Volatility_30, Trend_MA50, Momentum_20",60.9,Above Average,catboost,base
BNZL.L,2566.0,-0.002332814930015581,0.009235380736717275,61.862314467720125,64.16666666666666,34.46772486772487,28.08120300751879,26.948983383765995,20.98765432098766,"Volatility_30, Momentum_20, Trend_MA50",60.2,Above Average,catboost,base
KER.PA,238.60000610351562,0.019004964010370884,0.02097407117758954,76.14607692362337,59.587628865979376,34.484848484848484,13.197482211275315,17.47452282867219,35.93189545153869,"Volatility_30, Trend_MA50, Momentum_20",58.6,Neutral,catboost,base
LAND.L,630.5,0.0007936507936507908,0.011533596575994919,51.98737749351097,61.45833333333333,43.012861058401846,25.164971714377486,29.139323551175842,18.78453038674033,"Trend_MA50, Volatility_30, RSI_14",58.2,Neutral,catboost,base
BMY,63.63999938964844,-0.0017254997702206287,0.015343043662755749,51.12107666219505,57.05263157894738,41.98663324979114,37.83310589192943,38.7443793447979,29.476191316969917,"Volatility_30, Trend_MA50, Return_5d",58.2,Neutral,catboost,base
AUTO.L,489.3999938964844,0.009488461673559323,0.019367274328969276,63.41544225433163,53.541666666666664,31.511008704557092,35.778842531164514,27.882561857141035,25.882361690652885,"Trend_MA50, Volatility_30, Momentum_20",58.1,Neutral,catboost,base
INTU,321.57000732421875,0.02813575029464288,0.026812755259395953,55.70609545156323,54.73684210526316,37.27904955378349,43.03525498891353,34.883368164281286,26.922688176243597,"Volatility_30, Momentum_20, Trend_MA50",57.8,Neutral,catboost,base
ABF.L,1843.5,-0.00887096774193552,0.017585591799,54.99178570987351,62.708333333333336,36.76613479399857,21.094271304797623,26.04313418319962,18.523878437047756,"Volatility_30, Trend_MA50, Momentum_20",57.6,Neutral,catboost,base
GSK.L,1770.5,-0.0028161081385524867,0.012193785062753232,66.69168072387012,60.0,26.621118012422365,10.457928371721474,14.265015604550488,19.294605809128626,"Volatility_30, Momentum_20, Trend_MA50",57.5,Neutral,catboost,base
MC.PA,415.29998779296875,0.02164818645256772,0.01654875912447514,65.71328273591205,59.38144329896907,41.697816250245914,21.380978534111527,26.07667607867348,30.665264506960042,"Volatility_30, Trend_MA50, Momentum_20",57.5,Neutral,catboost,base
BATS.L,4100.0,0.0019550342130987275,0.015108958926530127,78.90206499400918,56.25,42.32146021619706,15.78318247017242,20.878118789055883,47.62633996937213,"Volatility_30, Trend_MA50, Momentum_20",56.5,Neutral,catboost,base
BARC.L,493.75,0.019407440441892687,0.011838436671190083,81.48204769973056,55.0,37.13773681515617,17.56286820948475,22.870641873770786,50.79805381859953,"Volatility_30, Trend_MA50, Momentum_20",56.3,Neutral,catboost,base
TSLA,365.44000244140625,0.0051710993933249405,0.028266374099903464,68.02098564598727,55.36842105263158,48.339872746553546,36.08461654864948,39.41730820968109,51.000937690912444,"Volatility_30, Trend_MA50, Momentum_20",56.3,Neutral,catboost,base
CSCO,112.12999725341797,0.043652221755760445,0.022930448833932648,70.63266799898848,55.1578947368421,46.77617554858934,25.289449112978524,30.362717254235427,53.545861308643914,"Volatility_30, Momentum_20, Trend_MA50",55.5,Neutral,catboost,base
MUV2.DE,503.3999938964844,0.010843361237920401,0.012090019273458626,59.94600637440458,57.5,37.19736842105264,43.18572997883343,38.128678024258406,39.54978085658508,"Volatility_30, Trend_MA50, Momentum_20",55.5,Neutral,catboost,base
AMD,516.1300048828125,0.024880855098165622,0.03377580559571155,83.36748731759725,51.15789473684211,50.35075592206322,22.307360352113328,27.752745007774205,62.560051888836604,"Volatility_30, Trend_MA50, Momentum_20",55.3,Neutral,catboost,base
FME.DE,38.439998626708984,-0.0012991179417325416,0.015996392744450662,39.84424186210775,61.458333333333336,45.85112205801861,33.69474969474969,37.21303872426164,26.12364516975896,"Volatility_30, Trend_MA50, Momentum_20",55.3,Neutral,catboost,base
ADS.DE,142.75,0.0003504068172892616,0.017787917111198995,50.730966180510826,54.583333333333336,33.69712609911261,40.72792154082477,36.369721992112886,26.12247007877889,"Volatility_30, Momentum_20, Trend_MA50",55.1,Neutral,catboost,base
MRK.DE,131.4499969482422,-0.0015191565325817225,0.010395828457057537,45.05727281964062,65.0,38.6013986013986,28.422705314009658,28.580636754549793,27.58625406987879,"Volatility_30, Trend_MA50, Momentum_20",55.0,Neutral,catboost,base
GS,1029.1800537109375,0.009227604263177813,0.01516700700186095,71.59751988384399,57.05263157894736,41.98759719812351,22.738724168912846,29.126151828010336,46.565569605961386,"Volatility_30, Trend_MA50, Momentum_20",54.9,Neutral,catboost,base
AZN.L,11708.0,-0.00425242388161251,0.02179976755258339,49.873674686961486,66.25,42.82269875620259,35.01361924079977,36.75338753387534,36.145833333333336,"Volatility_30, Momentum_20, Trend_MA50",54.4,Neutral,catboost,base
MS,214.3800048828125,0.008088033438746756,0.01352360391673194,71.73299504076208,57.263157894736835,39.551414768806076,19.23582133082066,24.11275223632203,50.38202002682592,"Volatility_30, Trend_MA50, Momentum_20",53.7,Neutral,catboost,base
AAL.L,3990.0,0.004531722054380571,0.02346480243268215,66.81938108512477,52.5,49.5421568627451,19.188502673796794,27.256524430542136,45.81976112920738,"Volatility_30, Trend_MA50, Momentum_20",53.7,Neutral,catboost,base
BA.L,1898.0,-0.013257083441642892,0.0143123915747775,47.79216097651847,54.583333333333336,35.086171689945274,32.626475279106856,32.27336311699967,10.416666666666671,"Volatility_30, Trend_MA50, Momentum_20",53.6,Neutral,catboost,base
ENGI.PA,23.979999542236328,-0.013168712134615124,0.013478367719385362,48.706907194628855,64.53608247422679,42.751832417124774,30.123983159697445,35.182788455353126,33.07492966964942,"Volatility_30, Trend_MA50, Return_5d",53.4,Neutral,catboost,base
UNH,379.0899963378906,-0.023668493021269277,0.013068488672101019,54.74991562953203,58.315789473684205,48.963341455144736,51.7632904729679,45.80840128666216,41.85153443064791,"Volatility_30, Momentum_20, Return_10d",52.7,Neutral,catboost,base
LSEG.L,8238.0,-0.03218984962406013,0.017419943800456136,67.52998954004379,58.95833333333333,36.04044962466592,30.548271318886016,31.616629380525914,41.431261770244824,"Trend_MA50, Volatility_30, Z_Score_20",52.6,Neutral,catboost,base
