Ticker,Latest Price ($),Daily Return,Volatility,Predicted Prob Up (%),Accuracy (%),Precision (%),Recall (%),F1 Score (%),RSI_14,Top Features,Score,Rating,Model,Feature_Set
NOW,83.0,-0.07582672022845538,0.03228710095505675,93.97236891269465,57.473684210526315,36.756934353708544,33.67426357671367,33.49009436925006,17.122955485845395,"Volatility_30, Trend_MA50, Return_10d",73.3,Top Ranked,catboost,interactions
SAP.DE,139.3800048828125,-0.0008601800515233293,0.022192063774728828,94.20296263947677,50.62499999999999,36.39160939011013,38.70186886123959,30.978266178266175,25.786752442732933,"Volatility_30, Return_10d, RSI_14",71.6,Top Ranked,catboost,interactions
LAND.L,581.0,-0.005136986301369828,0.02053766975651644,92.59551888930318,64.84210526315789,53.454771035416194,18.17575400334021,25.556320840882204,58.19672131147541,"Volatility_30, RSI_x_Vol, Trend_x_Vol",67.2,Above Average,catboost,interactions
INTU,350.94000244140625,-0.029721584581927973,0.030946273824283353,79.36146919170336,51.1578947368421,33.328174936921776,42.77739557739558,34.19648093841643,15.311669898535115,"Volatility_30, RSI_14, RSI_x_Vol",65.4,Above Average,catboost,interactions
HLN.L,364.1000061035156,-0.0008232376454264667,0.017881189045545944,84.43891309012427,64.71910112359551,34.833333333333336,24.622997969772165,28.081232492997195,35.50863307624766,"Volatility_30, Return_5d, Z_Score_20",64.6,Above Average,catboost,interactions
CRM,164.9600067138672,-0.0344746805925179,0.023297415180024653,68.97177213323813,58.10526315789474,42.702521008403366,25.860050765174105,29.967940095058736,22.030138796720962,"Volatility_30, Return_10d, Trend_x_Vol",64.4,Above Average,catboost,interactions
ADBE,225.35000610351562,-0.019961713008419424,0.023142449423028268,70.67234111770297,56.000000000000014,38.40419226358968,43.61298144579878,34.53971750862108,28.294002937867816,"Volatility_30, Return_5d, RSI_14",64.3,Above Average,catboost,interactions
BA.L,2194.0,-0.033054208902600246,0.025649008042440167,87.68801177765884,58.105263157894726,41.741048741048736,34.9359633079866,34.82391017930986,41.629955947136565,"Volatility_30, Return_10d, Return_5d",62.4,Above Average,catboost,interactions
HO.PA,259.20001220703125,-0.033557045452528356,0.02339131563878805,92.6051969669377,56.08247422680413,32.601458417132896,33.31085581085581,31.61576123128941,56.85210896393003,"Volatility_30, Trend_x_Vol, Volume_MA_Ratio",61.2,Above Average,catboost,interactions
AIR.PA,169.5,-0.007611258949239419,0.024344276429275377,73.19910485855151,61.44329896907216,53.57453416149068,27.87632907632908,29.52482794688521,54.951726432965955,"Volatility_30, Volume_MA_Ratio, Return_5d",59.4,Neutral,catboost,interactions
