Ticker,Latest Price ($),Daily Return,Volatility,Predicted Prob Up (%),Accuracy (%),Precision (%),Recall (%),F1 Score (%),RSI_14,Top Features,Score,Rating
AAPL,299.239990234375,0.009513449426140408,0.014401407874059347,60.22096276283264,54.526315789473685,34.98077412036222,14.679909560723516,20.280673590775816,40.488280771444416,"Volatility_30, Trend_MA50, Momentum_20",46.8,Below Average
MSFT,393.8299865722656,-0.014833957996038927,0.020442913875693136,58.01512598991394,57.263157894736835,33.37578843920308,36.449791688922126,33.45677839663419,43.011858842152115,"Volatility_30, Momentum_20, Trend_MA50",48.0,Below Average
GOOGL,373.25,0.010559073594251789,0.018287690665818753,72.20138907432556,56.0,48.59919620021922,26.117720988688728,31.192541738180683,40.289220592615756,"Momentum_20, Trend_MA50, Return_10d",56.9,Neutral
AMZN,246.0,-8.13115686266741e-05,0.01676650061849167,50.48721432685852,56.0,38.082301509720864,26.020541549953315,30.70758170868147,28.331917876200365,"RSI_14, Volume_MA_Ratio, Return_10d",55.5,Neutral
META,593.47998046875,0.04673886365104307,0.021537882460577733,54.167640209198,56.170212765957444,43.063257561088946,34.073422490225404,37.48710142903691,44.69149647838326,"Trend_MA50, Momentum_20, Z_Score_20",49.3,Below Average
NVDA,207.41000366210938,-0.023723197733726886,0.02858468737692875,37.20797896385193,58.10526315789474,58.53787878787879,28.564574793023063,38.00054734537493,46.488020330187965,"Trend_MA50, Momentum_20, Volatility_30",46.8,Below Average
TSLA,404.6600036621094,-0.015784969793794956,0.029904008136823583,56.506019830703735,63.578947368421055,58.28316000729793,45.354955888730636,49.99685859387352,38.09365711981425,"Volatility_30, RSI_14, Return_5d",62.4,Above Average
AMD,507.2900085449219,-0.07303658317336414,0.06001724528774784,47.71236181259155,53.684210526315795,48.28528476167794,29.735181615995565,35.11627051447208,51.74981353149623,"Momentum_20, RSI_14, Trend_MA50",47.2,Below Average
NFLX,78.72000122070312,-0.036120938096995236,0.015535593878008304,29.7039657831192,58.526315789473685,48.953659541894844,27.857512923868732,29.923006725670433,20.66622097030759,"Volatility_30, Trend_MA50, Z_Score_20",50.3,Neutral
INTC,117.05000305175781,-0.08454557724848444,0.06126589927538435,48.34568202495575,55.78947368421052,47.63888888888889,23.110431235431236,28.83199195171026,46.97901027438968,"RSI_14, Trend_MA50, Volatility_30",46.7,Below Average
TSCO.L,458.70001220703125,-0.008001690610492163,0.015142103769073103,79.41026091575623,58.75,44.65085204049551,25.05847953216374,30.46585305604732,61.959307537808236,"Trend_MA50, Volatility_30, RSI_14",54.2,Neutral
SHEL.L,3045.0,-0.007496740547587977,0.016267597592204825,65.7358169555664,61.25,45.36363636363636,24.961441659116076,30.671991299002222,42.12662337662338,"Volatility_30, RSI_14, Trend_MA50",54.5,Neutral
AZN.L,13296.0,0.0009033423667570428,0.013055272581783298,69.23141479492188,64.375,42.19742771916685,26.9983579638752,31.223517638914593,40.38461538461538,"Trend_MA50, Volatility_30, Return_10d",55.8,Neutral
HSBA.L,1415.5999755859375,0.00425652674795618,0.01881412693065997,21.41375243663788,58.125,61.91919191919192,18.526540640826354,25.148053629039747,55.577046203756794,"Z_Score_20, Volatility_30, Trend_MA50",39.4,Below Average
ULVR.L,4370.0,-0.0060275218924144,0.014027455249533308,66.02427959442139,58.75,28.985507246376812,36.4532279314888,31.44530206718148,57.41127348643006,"Z_Score_20, Volatility_30, Momentum_20",50.1,Neutral
REL.L,2426.0,0.0024793388429751317,0.023762008962975593,90.5182421207428,59.375,35.74348370767982,55.4543718675713,41.68049860587174,48.425787106446776,"Z_Score_20, Volatility_30, Trend_MA50",63.3,Above Average
BP.L,510.0,-0.006622563795050329,0.01895562315316128,53.96469831466675,59.58333333333333,46.13756613756614,13.854696355114953,20.24390962234638,47.52964307684885,"Trend_MA50, Z_Score_20, Volatility_30",48.1,Below Average
GSK.L,1940.5,-0.004871794871794899,0.013049930556794683,38.59560489654541,58.333333333333336,34.47186147186147,14.21013560143995,18.675054781932566,53.01204819277108,"Volatility_30, Trend_MA50, Momentum_20",38.5,Below Average
LSEG.L,8990.0,-0.009257218426272917,0.01975912935744007,44.834449887275696,60.625,42.597927205070064,31.710084033613448,31.116622903508148,50.8140531276778,"Trend_MA50, Z_Score_20, Volatility_30",45.4,Below Average
RIO.L,7770.0,-0.01545869234668018,0.022632802816984085,30.670267343521118,61.45833333333333,56.96825396825396,22.481619143221465,29.486677709438,45.76734025122884,"Return_10d, Volatility_30, Momentum_20",43.2,Below Average
