Ticker,Latest Price ($),Daily Return,Volatility,Predicted Prob Up (%),Accuracy (%),Precision (%),Recall (%),F1 Score (%),RSI_14,Top Features,Score,Rating
AAL.L,3667.0,0.009775574831336842,0.02719883476280413,63.125234842300415,54.79166666666667,52.78174603174604,22.655757984705353,29.739225122483486,61.64634146341463,"Z_Score_20, Trend_MA50, Momentum_20",48.9,Below Average
ABF.L,1823.0,0.0019236053860951507,0.013215851715872376,36.56770586967468,60.625,30.68872304166422,25.317156527682847,25.563422258263508,35.875216637781634,"Volatility_30, Trend_MA50, RSI_14",43.3,Below Average
ADM.L,3413.0,0.00559811431938706,0.013105226240193167,34.08982753753662,67.70833333333334,43.768115942028984,19.51863354037267,26.45193015851434,78.6144578313253,"Momentum_20, Trend_MA50, Return_10d",32.1,Below Average
AHT.L,53.720001220703125,-0.9899999997727656,0.18252844550054606,23.804979026317596,61.73913043478261,47.93987621573828,43.242630798765525,42.03646002085333,9.524931756257828,"Volatility_30, RSI_14, Momentum_20",50.2,Neutral
ANTO.L,3611.0,0.0002770083102492382,0.03738674134304678,53.812175989151,55.208333333333336,55.4587542087542,27.188948306595364,34.42143483128552,43.40222575516693,"Trend_MA50, Volatility_30, Momentum_20",51.6,Neutral
AUTO.L,504.0,0.001988071570576455,0.0179502000014546,79.66969013214111,55.625000000000014,34.327934072179595,25.388763197586727,22.25794577497364,64.59852713834474,"Volatility_30, Trend_MA50, Return_10d",49.9,Below Average
AV.L,628.7999877929688,0.0031908105279998544,0.01640276105712322,52.21869945526123,65.625,38.76623376623377,16.68186874304783,20.278753925812747,48.30338227106655,"Momentum_20, Volatility_30, Trend_MA50",46.7,Below Average
AZN.L,13756.0,-0.015459490409390209,0.016294138618609885,36.341771483421326,64.375,32.25108225108225,22.193822012574877,25.401941342239848,18.48013816925733,"RSI_14, Trend_MA50, Momentum_20",49.3,Below Average
BA.L,2039.0,0.0014734774066798018,0.02165913963040392,72.77886271476746,60.625,40.83704247439191,47.26659305606674,42.76223910224901,25.418719211822662,"Volatility_30, Trend_MA50, Momentum_20",67.9,Above Average
BARC.L,415.20001220703125,-0.028544646382021144,0.024075694220228754,72.47182130813599,53.26315789473684,38.22157349292074,20.85741850447733,26.335746079184567,38.30146436376145,"Volatility_30, Trend_MA50, RSI_14",58.1,Neutral
BATS.L,4249.0,0.0030689329556186085,0.014830389302227697,79.43121194839478,55.36842105263158,48.71212121212121,13.611774777534302,19.066907911489956,38.73873873873874,"Trend_MA50, Momentum_20, Volatility_30",62.9,Above Average
BHP.L,2952.0,0.007852509388869944,0.016899181821036016,42.39879250526428,59.791666666666664,40.19047619047619,17.043859649122805,22.273709483793517,62.533692722371974,"Trend_MA50, Momentum_20, Volatility_30",37.3,Below Average
BP.L,581.2999877929688,0.015548502794032304,0.030054155366315335,31.20570182800293,56.210526315789465,28.89194139194139,14.725105929771889,18.077872961981914,55.96917688815065,"Trend_MA50, Z_Score_20, Return_10d",33.7,Below Average
BT-A.L,216.4499969482422,-0.0059701632686925965,0.01854895697524155,66.93751811981201,56.666666666666664,48.25698924731182,19.44419146744728,23.562133025587052,47.819554461920276,"RSI_14, Trend_MA50, Volatility_30",53.7,Neutral
BNZL.L,2437.0,0.000821355236139576,0.013668115757664674,58.27805995941162,59.166666666666664,29.976608187134502,29.858879858879863,26.28366730898905,71.29032258064515,"Return_10d, Momentum_20, RSI_14",36.6,Below Average
CCL.L,1958.1080322265625,0.0057052040198060094,0.033405436337332825,52.36586332321167,55.0,34.58622863779658,25.866963761700607,28.758822335994648,41.62760997003571,"Volatility_30, Momentum_20, Trend_MA50",44.9,Below Average
CNA.L,208.50790405273438,0.006798155034891895,0.01896671497610926,55.68334460258484,61.666666666666664,47.72727272727273,33.17345086855069,37.44844361987219,42.65626689291336,"Trend_MA50, Z_Score_20, Momentum_20",52.2,Neutral
CPG.L,29.1299991607666,-0.006141259244475172,0.07945770442148559,24.490024149417877,61.66666666666667,23.842034756577483,29.287207045827735,25.296136299406516,49.95677558384284,"Trend_MA50, Volatility_30, Return_5d",31.9,Below Average
CRDA.L,2895.0,-0.0034423407917383297,0.02068767197948909,42.3000305891037,64.21052631578947,39.374514374514376,22.705243958048335,26.919274041225258,39.43661971830986,"Volatility_30, Trend_MA50, Momentum_20",48.6,Below Average
DCC.L,5255.0,0.0038204393505252288,0.01425182684432974,10.27391105890274,66.875,43.93939393939394,27.27189592017178,28.944742809404467,69.78417266187051,"Trend_MA50, Volatility_30, Return_10d",27.8,Below Average
DGE.L,1467.800048828125,0.0030067133665823143,0.014383739724019143,79.361891746521,63.789473684210535,29.77857142857143,20.60445632798574,21.8274824020652,57.03423884223583,"Volatility_30, Trend_MA50, Return_5d",55.2,Neutral
EDV.L,4351.0,-0.007979936160510737,0.030761769188520714,70.36585211753845,54.375,57.06762170577961,28.807028905269796,36.80542508900717,35.3125,"Momentum_20, Trend_MA50, Volatility_30",63.8,Above Average
ENT.L,571.0999755859375,0.0072309975060627085,0.03497523094954136,50.34729242324829,53.958333333333336,31.158730158730158,21.114706765153638,23.38296586336501,47.20204156284473,"Volatility_30, Trend_MA50, Return_10d",42.2,Below Average
EXPN.L,2713.0,-0.011117186076180063,0.01997615415328436,58.73914361000061,68.54166666666667,43.793950012437406,49.83524904214559,44.967690467135526,52.48023005032351,"Trend_MA50, Volatility_30, Return_10d",54.9,Neutral
FERG.L,19450.0,0.004130098089829559,0.014996607052324754,34.326526522636414,57.916666666666664,39.318799480089794,28.745826895232664,31.210471610027657,69.74789915966386,"Trend_MA50, Volatility_30, Return_5d",34.8,Below Average
FLTR.L,8158.0,-0.003176930596285432,0.021997967318898796,60.318922996520996,51.458333333333336,33.91620323559151,32.37852077001013,32.56679746584651,50.847457627118644,"RSI_14, Trend_MA50, Momentum_20",47.8,Below Average
FRES.L,3292.0,-0.00423472474289166,0.03529618912298327,71.57666683197021,49.375,58.63348416289593,30.692383703253267,39.51878981891222,38.136200716845885,"Volatility_30, RSI_14, Volume_MA_Ratio",64.1,Above Average
GLEN.L,554.4000244140625,0.005258430487874,0.012584575740437427,46.17920517921448,59.57894736842106,44.06504065040651,24.004451345755694,27.932612809292994,43.333381773792745,"Trend_MA50, Momentum_20, Volatility_30",45.6,Below Average
GSK.L,1986.0,-0.014880952380952328,0.015694145835037136,35.15458106994629,61.473684210526315,32.88516746411483,15.304340396445658,20.12682926829268,28.615384615384627,"Momentum_20, Trend_MA50, Volatility_30",47.6,Below Average
HLMA.L,4469.98193359375,0.004264644707649978,0.021575211211471823,28.897953033447266,62.708333333333336,42.02279202279202,22.263986013986013,28.54624402103635,75.89875848582695,"Volatility_30, Trend_MA50, Return_10d",28.9,Below Average
HLN.L,349.52398681640625,-0.002215246941490445,0.01444440867583204,73.93041253089905,62.22222222222223,32.265122265122265,28.09313894639981,28.3792230244783,30.691978744277506,"Volatility_30, Trend_MA50, Return_5d",59.3,Neutral
HSBA.L,1328.5999755859375,0.006362691050401992,0.018459126815194907,31.22570514678955,56.0,65.86785714285715,18.324480293789755,24.454414867236625,67.084249206475,"Volatility_30, Trend_MA50, Z_Score_20",38.8,Below Average
IAG.L,374.6000061035156,0.002140230970232082,0.028317847098032162,35.2802574634552,49.473684210526315,41.82539682539683,24.550505050505052,28.43399950373354,42.4024722365306,"Volatility_30, Return_5d, Return_10d",38.7,Below Average
IHG.L,143.5500030517578,0.0010460889934327255,0.02198032692274711,42.10597276687622,54.375,26.441330599225342,21.332100932100932,22.891262468427584,55.111099657615846,"Trend_MA50, Volume_MA_Ratio, Volatility_30",37.8,Below Average
