Ticker,Latest Price ($),Daily Return,Volatility,Predicted Prob Up (%),Accuracy (%),Precision (%),Recall (%),F1 Score (%),RSI_14,Top Features,Score,Rating,Model
INGA.AS,21.725000381469727,0.00023025176212421172,0.01761981218303661,95.22833544394959,61.03092783505154,47.92857142857143,36.54299754299754,39.776459173010906,27.777788990871983,"RSI_14, Z_Score_20, Volatility_30",78.2,Top Ranked,lightgbm
APP,381.20001220703125,-0.0255872280020647,0.04877212538271005,89.40786084429135,52.421052631578945,58.28109049420525,43.933737396791585,47.89165289352623,16.968591694999148,"Volatility_30, RSI_14, Return_5d",78.0,Top Ranked,lightgbm
TEAM,65.12000274658203,-0.044180164805230904,0.042342674140345635,97.82882642604275,57.684210526315795,43.69523809523809,41.26383302232359,40.67410006393057,21.360863211691736,"Volatility_30, Volume_MA_Ratio, RSI_x_VoL",77.7,Top Ranked,lightgbm
GFRD.L,477.5,-0.02650356778797147,0.02258662377110631,90.49911663791185,59.583333333333336,51.76561306286275,35.2772645560771,37.542445630140904,20.24291497975709,"Volatility_30, Return_5d, RSI_x_VoL",76.7,Top Ranked,lightgbm
UCG.MI,59.68000030517578,-0.008967135579228347,0.02384668872966309,97.45069263187933,51.041666666666664,42.24194836612978,40.190691150145184,40.39034415948072,21.733743950809057,"Volatility_30, Volume_MA_Ratio, RSI_x_VoL",75.8,Top Ranked,lightgbm
ADBE,234.83999633789062,-0.02507476097013661,0.02392161099049367,92.55266882904125,56.8421052631579,45.01513811858639,47.14548455852804,37.85485735437787,15.477208087559887,"Volatility_30, Return_5d, Return_10d",75.3,Top Ranked,lightgbm
ACA.PA,15.765000343322754,-0.006616228291965731,0.017358129078338797,94.94582552106785,57.93814432989691,40.965408561316494,33.39970636986148,35.28780682233368,26.512449537501325,"Volatility_30, Volume_MA_Ratio, Trend_x_Vol",75.1,Top Ranked,lightgbm
AFRM,42.529998779296875,-0.030102616664929638,0.03677156349563519,91.31451754146816,51.15789473684211,49.91904761904762,36.78484117051076,38.78066378066377,27.227711242049295,"Volatility_30, Trend_MA50, Return_10d",75.1,Top Ranked,lightgbm
BAB.L,1154.0,-0.0008658008658009031,0.021575166380495073,94.98524845373441,52.083333333333336,44.320249560905005,33.87280463314735,34.28951908278643,16.195372750642676,"Volatility_30, Z_Score_20, Return_10d",74.6,Top Ranked,lightgbm
PCIP.L,47.400001525878906,-0.0613861083984375,0.016499569377663448,89.60563512115927,63.913043478260875,48.017808749516064,23.665613955936536,24.742727160673667,10.416668322351498,"Volatility_30, Return_10d, Return_5d",74.3,Top Ranked,lightgbm
IR,78.86000061035156,-0.007426008314071808,0.01657420546344628,92.61526611327372,55.1578947368421,40.19165085388994,41.33772332071267,38.50959870761851,29.13909152994536,"Volatility_30, Trend_MA50, Return_10d",73.9,Top Ranked,lightgbm
VOE.VI,37.540000915527344,-0.01469809923940335,0.034588193204778246,89.94843443507732,55.41666666666667,44.459649319995506,33.834993288543316,36.51508437650013,28.910888247062587,"Volatility_30, Volume_MA_Ratio, Return_10d",73.7,Top Ranked,lightgbm
DBK.DE,24.780000686645508,-0.0054184316243673925,0.02262228411138401,91.81679115050727,52.78350515463918,42.44887421358009,35.18077271565643,35.36992670007818,26.896554899273866,"Volatility_30, RSI_14, Z_Score_20",73.2,Top Ranked,lightgbm
UBSG.SW,29.329999923706055,-0.0017018120656489,0.01591649662899089,97.5270609963196,56.63157894736842,45.08826949384405,44.580533111832665,43.5015651015651,39.285714285714285,"Volatility_30, Trend_MA50, RSI_x_VoL",73.1,Top Ranked,lightgbm
PST.MI,19.815000534057617,0.0010103792718658688,0.017269480755604916,86.8984698241154,58.958333333333336,46.34841628959276,27.563547563547566,33.31313131313131,21.0154955342731,"Volatility_30, Volume_MA_Ratio, Trend_MA50",73.1,Top Ranked,lightgbm
HOOD,66.0199966430664,-0.06154942324053525,0.03870370323691374,82.16190118824746,50.526315789473685,55.28609759693351,41.5095928226363,41.71431865064919,28.968127478529837,"Volatility_30, Return_10d, Return_5d",73.0,Top Ranked,lightgbm
EL,67.2300033569336,-0.03612898412998433,0.03568118326712305,86.43893247921041,57.26315789473684,43.28361612844371,37.49654498002111,39.66013899036287,19.631756676633643,"Volatility_30, Volume_MA_Ratio, RSI_x_VoL",72.8,Top Ranked,lightgbm
FSV.L,395.0,-0.005037783375314908,0.015000368213476013,93.10962038112288,70.41666666666667,32.304631997726624,17.972303307287827,22.186416346008876,18.644067796610173,"Volatility_30, RSI_14, RSI_x_VoL",72.7,Top Ranked,lightgbm
ALFA.L,141.82000732421875,-0.004072939586551083,0.025133068111774435,89.70945647697708,62.083333333333336,36.108063479780846,33.24144144144144,33.8495148743596,1.4875475454004317,"Volatility_30, RSI_14, Trend_MA50",72.4,Top Ranked,lightgbm
WEIR.L,2772.0,0.006535947712418277,0.02852758863957392,98.04607325688104,58.958333333333336,44.028593811202505,29.97851315781485,34.95279070013882,33.64710683677272,"Volatility_30, Volume_MA_Ratio, Return_10d",72.3,Top Ranked,lightgbm
ROG.SW,312.5,-0.0009590402962781353,0.015753891965082766,97.5263622822351,60.63157894736842,48.25,21.50288641564385,25.67755528543706,33.60790782582552,"Volatility_30, Trend_MA50, Return_5d",72.1,Top Ranked,lightgbm
SAP.DE,145.3000030517578,0.019220016414758234,0.01860820545872504,93.77419975295321,49.69072164948454,36.79390597494046,46.77248677248677,35.75486452082197,14.864080733021964,"Volatility_30, Momentum_20, Return_10d",72.0,Top Ranked,lightgbm
XPS.L,279.0,-0.014134275618374548,0.013663530481450734,91.0307428614943,64.16666666666667,33.231884057971016,24.94466230936819,27.712863973964524,13.095238095238088,"Volatility_30, Trend_MA50, RSI_x_VoL",71.7,Top Ranked,lightgbm
NOW,99.41000366210938,-0.04081431640727662,0.02776216272019888,87.60679541657869,56.8421052631579,38.59066339066339,39.21764117941029,36.93290437306664,15.160895953422923,"Volatility_30, RSI_x_VoL, Return_5d",71.6,Top Ranked,lightgbm
KGX.DE,44.2599983215332,-0.009400223383479345,0.03459272820221935,83.18939594825166,53.814432989690715,53.00030404378231,26.035868893011745,27.814748469920886,28.552540580635707,"Volatility_30, Return_10d, Trend_MA50",71.5,Top Ranked,lightgbm
FRES.L,3212.0,0.01133501259445846,0.038483953792733824,81.5749966119214,49.16666666666667,52.97264309764309,30.6440708319368,37.774309507118126,24.738675958188153,"Volatility_30, Return_10d, Return_5d",71.4,Top Ranked,lightgbm
