Ticker,Latest Price ($),Daily Return,Volatility,Predicted Prob Up (%),Accuracy (%),Precision (%),Recall (%),F1 Score (%),RSI_14,Top Features,Score,Rating,Model,Feature_Set
HO.PA,226.8000030517578,0.007552185260538913,0.014104520862372447,91.03645739085628,54.639175257731964,30.94157134092262,30.94200244200244,30.42504946723497,5.7238960367731835,"Volatility_30, Trend_MA50, RSI_14",69.6,Above Average,lightgbm,base
ABF.L,1843.5,-0.00887096774193552,0.017585591799,79.28669705120693,60.20833333333333,40.19012605042017,30.669671722303303,32.37426481591103,18.523878437047756,"Volatility_30, Trend_MA50, RSI_14",68.7,Above Average,lightgbm,base
LAND.L,630.5,0.0007936507936507908,0.011533596575994919,76.02525219458103,61.041666666666664,45.036866359447004,28.50787736560232,31.975123159631742,18.78453038674033,"Volatility_30, Trend_MA50, RSI_14",68.7,Above Average,lightgbm,base
LLY,1115.699951171875,-0.006500488716050801,0.020593514579490706,76.18706198887128,50.31578947368421,39.69976771196283,35.00696864111497,35.42826215797817,2.4829288263054394,"Volatility_30, Trend_MA50, Momentum_20",65.8,Above Average,lightgbm,base
BNZL.L,2566.0,-0.002332814930015581,0.009235380736717275,71.18516202551433,61.66666666666667,38.0813492063492,29.945864661654138,27.541711667425325,20.98765432098766,"Volatility_30, Return_5d, Return_10d",64.5,Above Average,lightgbm,base
KER.PA,238.60000610351562,0.019004964010370884,0.02097407117758954,86.64147185557734,58.35051546391753,37.87878787878788,18.24422550629447,22.1020182758815,35.93189545153869,"Volatility_30, Trend_MA50, Return_10d",64.1,Above Average,lightgbm,base
NG.L,1130.5,0.0017722640673460965,0.010012871991894509,83.67644209073705,59.791666666666664,37.17881747293512,28.482976482976483,28.18927954323492,30.985915492957744,"Volatility_30, RSI_14, Return_10d",64.0,Above Average,lightgbm,base
DG.PA,111.44999694824219,0.008141057183535416,0.012343461037432007,63.16422954754285,63.092783505154635,41.056768442404184,38.97682709447415,38.165286101462,29.610357594959282,"Volatility_30, Trend_MA50, Return_5d",63.9,Above Average,lightgbm,base
ANTO.L,3790.0,0.005038451339167249,0.030747360609742484,82.02356126016342,54.583333333333336,55.304048892284186,32.02538202538203,39.45357541009715,44.255744255744254,"Volatility_30, Trend_MA50, Momentum_20",63.5,Above Average,lightgbm,base
FRES.L,3014.0,0.018587360594795488,0.028749078033694322,75.99699843956762,48.95833333333333,50.62770562770563,34.439574440284105,37.93522468348867,35.25179856115108,"Volatility_30, RSI_14, Trend_MA50",63.5,Above Average,lightgbm,base
CNA.L,150.89999389648438,-0.00033125573215453397,0.009892277721424427,88.83043748729283,60.416666666666664,41.16339869281045,34.99982419888006,36.490161001788906,41.42857142857144,"Trend_MA50, Volatility_30, Z_Score_20",63.4,Above Average,lightgbm,base
MS,214.3800048828125,0.008088033438746756,0.01352360391673194,85.33898663320178,58.526315789473685,51.971428571428575,25.002187373805356,30.56258864935172,50.38202002682592,"Volatility_30, Trend_MA50, Momentum_20",63.4,Above Average,lightgbm,base
NXT.L,14685.0,-0.015420717398592076,0.015272676453218954,66.26223911617835,62.5,47.00235538679475,49.978549978549985,45.57736591766443,35.64593301435406,"Volatility_30, RSI_14, Trend_MA50",62.6,Above Average,lightgbm,base
GSK.L,1770.5,-0.0028161081385524867,0.012193785062753232,73.66175317626093,58.541666666666664,28.28185907046477,18.5876547729996,21.39578586966315,19.294605809128626,"Volatility_30, RSI_14, Trend_MA50",61.5,Above Average,lightgbm,base
ADS.DE,142.75,0.0003504068172892616,0.017787917111198995,67.2485596966761,52.708333333333336,33.2815204829792,41.90301311591634,36.263732862510686,26.12247007877889,"Volatility_30, Return_10d, RSI_14",61.2,Above Average,lightgbm,base
AMAT,456.489990234375,0.005462391611211981,0.029214870833123442,78.14941937721738,45.89473684210527,40.37460317460317,28.81936684796377,30.557066314735174,35.03965121002578,"Volatility_30, Trend_MA50, Momentum_20",60.1,Above Average,lightgbm,base
SPGI,410.7099914550781,0.000706539685825458,0.01692906532450895,72.52084279873115,58.315789473684205,36.521174854012536,39.724832915622386,35.42636103137169,39.489262110246116,"Volatility_30, Trend_MA50, Return_5d",60.1,Above Average,lightgbm,base
AAL.L,3990.0,0.004531722054380571,0.02346480243268215,76.60192632654896,53.333333333333336,53.138351844234194,23.317290552584673,31.54247182932259,45.81976112920738,"Volatility_30, Trend_MA50, Return_10d",59.3,Neutral,lightgbm,base
HLN.L,333.79998779296875,-0.007138680329923819,0.012250742545300786,62.50091977342112,59.166666666666664,31.32923220929218,30.45255819449368,30.6609212599996,23.978649604273983,"Volatility_30, Return_10d, RSI_14",59.3,Neutral,lightgbm,base
TSLA,365.44000244140625,0.0051710993933249405,0.028266374099903464,67.88684516735674,57.05263157894738,52.0319816871541,49.50591911338697,48.627708920803556,51.000937690912444,"Volatility_30, Trend_MA50, Z_Score_20",58.9,Neutral,lightgbm,base
AUTO.L,489.3999938964844,0.009488461673559323,0.019367274328969276,69.48758590304207,50.833333333333336,26.490614648509386,33.55689878290498,25.121147092305083,25.882361690652885,"Volatility_30, Trend_MA50, Z_Score_20",58.4,Neutral,lightgbm,base
BARC.L,493.75,0.019407440441892687,0.011838436671190083,83.17464178027231,54.375,38.49372006867263,21.328136358211548,27.053515206967138,50.79805381859953,"Volatility_30, Momentum_20, Trend_MA50",57.8,Neutral,lightgbm,base
JPM,356.2300109863281,0.007551797279588657,0.008477289417872994,73.28789617499157,60.21052631578948,45.3748205283089,29.438685738224905,33.60994425048314,56.772546412024276,"Volatility_30, Trend_MA50, RSI_14",57.7,Neutral,lightgbm,base
GS,1029.1800537109375,0.009227604263177813,0.01516700700186095,81.36491456837385,54.31578947368422,37.15491539742297,22.48993710691824,27.54207598532371,46.565569605961386,"Volatility_30, RSI_14, Momentum_20",56.8,Neutral,lightgbm,base
HEI.DE,154.9499969482422,0.0022638475479246356,0.01759639551984513,72.85995458294265,52.291666666666664,43.49916567849865,43.40809743252139,38.99585137085137,44.252151413974936,"Volatility_30, Trend_MA50, Momentum_20",56.3,Neutral,lightgbm,base
BNP.PA,103.76000213623047,0.010911951999631242,0.013685440471857909,52.3348890183309,57.5257731958763,49.89186739186739,30.64602876797998,37.11152573572163,38.77551394242417,"Trend_MA50, Volatility_30, Return_5d",55.5,Neutral,lightgbm,base
ABBV,257.1199951171875,0.008313706341911864,0.01487781743315973,71.25197888846652,59.578947368421055,40.817369093231164,24.929639993793963,29.560381893149298,40.08600329719184,"Volatility_30, Return_5d, Momentum_20",55.1,Neutral,lightgbm,base
AON,302.69000244140625,-0.016505789237429402,0.021530082708986896,47.544397979878326,63.36842105263158,37.865800865800864,22.199400893780616,26.281981951515604,22.968249262082864,"Volatility_30, Trend_MA50, Return_5d",55.1,Neutral,lightgbm,base
AMD,516.1300048828125,0.024880855098165622,0.03377580559571155,83.30228733719956,49.89473684210526,48.51434250456984,25.712228725715924,29.570279665225343,62.560051888836604,"Volatility_30, Trend_MA50, RSI_14",54.9,Neutral,lightgbm,base
BMY,63.63999938964844,-0.0017254997702206287,0.015343043662755749,48.05914231438723,53.473684210526315,38.52388746005767,34.36407383466208,35.40372438825819,29.476191316969917,"Trend_MA50, Volatility_30, RSI_14",54.9,Neutral,lightgbm,base
INF.L,889.4000244140625,0.01715461983209754,0.013857865013963029,73.35137265151901,57.29166666666667,36.886236620251964,33.856007480130906,31.875725075193856,45.622134289519444,"Volatility_30, Momentum_20, Trend_MA50",54.8,Neutral,lightgbm,base
MC.PA,415.29998779296875,0.02164818645256772,0.01654875912447514,70.41279234919229,54.22680412371134,31.337289301685587,16.2413655540254,19.278540087363616,30.665264506960042,"Volatility_30, Momentum_20, Trend_MA50",54.7,Neutral,lightgbm,base
ADBE,252.22999572753906,0.013663922643833093,0.02735239835776357,56.76389306411674,56.0,40.763708513708515,40.12917617871178,37.49471829444085,35.99611648255278,"Volatility_30, Return_10d, RSI_14",54.7,Neutral,lightgbm,base
CSCO,112.12999725341797,0.043652221755760445,0.022930448833932648,69.93726843438878,55.1578947368421,41.02814682125027,31.996732026143786,34.67742122750713,53.545861308643914,"Volatility_30, RSI_14, Volume_MA_Ratio",54.5,Neutral,lightgbm,base
BA.L,1898.0,-0.013257083441642892,0.0143123915747775,44.06601063533443,56.041666666666664,39.60059313586749,38.57900053163211,37.36873759111923,10.416666666666671,"Volatility_30, RSI_14, Momentum_20",54.3,Neutral,lightgbm,base
