Ticker,Latest Price ($),Daily Return,Volatility,Predicted Prob Up (%),Accuracy (%),Precision (%),Recall (%),F1 Score (%),RSI_14,Top Features,Score,Rating,Model,Feature_Set
ABF.L,1843.5,-0.00887096774193552,0.017585591799,94.72866147588275,62.083333333333336,43.351471658272814,35.147881989987255,35.78392258311775,18.523878437047756,"Volatility_30, RSI_14, RSI_x_Vol",76.5,Top Ranked,lightgbm,interactions
LLY,1115.699951171875,-0.006500488716050801,0.020593514579490706,92.01828513108217,51.789473684210535,40.42374995975402,35.796651180797525,36.80659727887517,2.4829288263054394,"Z_Score_20, Volume_MA_Ratio, Volatility_30",72.8,Top Ranked,lightgbm,interactions
CNA.L,150.89999389648438,-0.00033125573215453397,0.009892277721424427,93.59349068757729,63.958333333333336,50.096006144393236,39.70931428917267,41.848437749431234,41.42857142857144,"Volatility_30, Trend_x_Vol, Z_Score_20",69.0,Above Average,lightgbm,interactions
LAND.L,630.5,0.0007936507936507908,0.011533596575994919,72.34729483586602,61.875,46.831395348837205,32.3249641103631,35.370372590150836,18.78453038674033,"Volatility_30, RSI_x_Vol, Trend_x_Vol",68.3,Above Average,lightgbm,interactions
EDV.L,4593.0,0.019307589880159792,0.027799727415494448,90.20254941272186,50.833333333333336,50.054292929292934,38.83745791245791,42.65176488932916,45.601617795753285,"Volatility_30, Return_10d, Z_Score_20",65.2,Above Average,lightgbm,interactions
FRES.L,3014.0,0.018587360594795488,0.028749078033694322,73.66589146067311,51.666666666666664,55.850815850815856,40.64519726554379,42.30362877339147,35.25179856115108,"Volatility_30, Volume_MA_Ratio, Return_5d",65.1,Above Average,lightgbm,interactions
NG.L,1130.5,0.0017722640673460965,0.010012871991894509,84.6500982820217,59.58333333333333,38.869179600886916,29.83538083538084,27.707537745273594,30.985915492957744,"Volatility_30, Return_10d, RSI_14",64.7,Above Average,lightgbm,interactions
HO.PA,226.8000030517578,0.007552185260538913,0.014104520862372447,78.68157976476154,54.22680412371134,31.002615518744552,29.45482295482295,29.75859995894308,5.7238960367731835,"Volatility_30, RSI_x_Vol, Return_10d",64.5,Above Average,lightgbm,interactions
ANTO.L,3790.0,0.005038451339167249,0.030747360609742484,82.35217411208336,54.791666666666664,53.39071976616733,31.627816627816628,38.49820370072941,44.255744255744254,"Volatility_30, RSI_x_Vol, Return_5d",63.0,Above Average,lightgbm,interactions
ENGI.PA,23.979999542236328,-0.013168712134615124,0.013478367719385362,79.24333690096684,60.618556701030926,37.61654097536451,26.173148280291137,30.262979163441788,33.07492966964942,"Volatility_30, Return_10d, Volume_MA_Ratio",62.8,Above Average,lightgbm,interactions
MS,214.3800048828125,0.008088033438746756,0.01352360391673194,90.23381098254939,56.8421052631579,43.033749791770774,24.55994525956836,28.385484484555697,50.38202002682592,"Volatility_30, Return_10d, Momentum_x_Vol",62.5,Above Average,lightgbm,interactions
KER.PA,238.60000610351562,0.019004964010370884,0.02097407117758954,75.8743851964312,59.79381443298969,45.859649122807014,18.036343732895457,24.342854885227773,35.93189545153869,"Volatility_30, Return_10d, Return_5d",62.4,Above Average,lightgbm,interactions
CSCO,112.12999725341797,0.043652221755760445,0.022930448833932648,89.26100784733093,54.315789473684205,39.831318107180174,28.688141923436035,32.818584825234446,53.545861308643914,"Volatility_30, Volume_MA_Ratio, Momentum_x_Vol",61.4,Above Average,lightgbm,interactions
BNZL.L,2566.0,-0.002332814930015581,0.009235380736717275,64.11718079929919,61.041666666666664,38.662561576354676,27.67919799498747,24.96723520326005,20.98765432098766,"Volatility_30, Return_5d, Return_10d",61.3,Above Average,lightgbm,interactions
LSEG.L,8238.0,-0.03218984962406013,0.017419943800456136,84.36071723141175,59.16666666666667,38.03703703703703,31.788787424469582,30.81814875431897,41.431261770244824,"Volatility_30, Trend_MA50, Z_Score_20",59.7,Neutral,lightgbm,interactions
HLN.L,333.79998779296875,-0.007138680329923819,0.012250742545300786,54.88580039575916,62.29166666666667,36.90363085547847,33.915761657697146,34.6392972192628,23.978649604273983,"Volatility_30, Return_5d, Return_10d",58.8,Neutral,lightgbm,interactions
ZAL.DE,22.31999969482422,0.0022451385735431373,0.031668123719981574,80.69148892560173,56.875,41.96291560102302,24.107142857142854,30.192436231374245,46.2418224776019,"Volatility_30, Return_5d, Momentum_x_Vol",58.7,Neutral,lightgbm,interactions
ADS.DE,142.75,0.0003504068172892616,0.017787917111198995,62.354484132455255,51.458333333333336,31.845466155810982,42.134514947418175,35.17716481814874,26.12247007877889,"Volatility_30, Return_10d, Return_5d",58.5,Neutral,lightgbm,interactions
BARC.L,493.75,0.019407440441892687,0.011838436671190083,87.9607100564609,52.916666666666664,34.153427684984486,22.985559135935073,27.13812627658296,50.79805381859953,"Volatility_30, RSI_x_Vol, RSI_x_Trend",58.4,Neutral,lightgbm,interactions
AAL.L,3990.0,0.004531722054380571,0.02346480243268215,70.67229818265616,54.375,54.97760518237122,27.912953060011887,36.50045066493495,45.81976112920738,"Volatility_30, Return_5d, Return_10d",58.4,Neutral,lightgbm,interactions
TSLA,365.44000244140625,0.0051710993933249405,0.028266374099903464,67.78430318012359,54.315789473684205,48.87732506388721,46.77859648175985,45.65588355933183,51.000937690912444,"Volatility_30, Volume_MA_Ratio, Z_Score_20",57.0,Neutral,lightgbm,interactions
ITRK.L,5850.0,0.0,0.000908276326451056,82.19744169820576,57.916666666666664,30.928175138701455,32.37926709722062,31.46841283040095,55.55555555555556,"Volatility_30, Volume_MA_Ratio, Return_10d",56.9,Neutral,lightgbm,interactions
BATS.L,4100.0,0.0019550342130987275,0.015108958926530127,77.55958435222512,56.45833333333333,40.74009324009324,22.10661797464241,27.22978351766406,47.62633996937213,"Volatility_30, RSI_14, RSI_x_Vol",56.6,Neutral,lightgbm,interactions
GS,1029.1800537109375,0.009227604263177813,0.01516700700186095,82.93140785863915,52.8421052631579,35.89244663382594,19.617520215633427,25.2873112659698,46.565569605961386,"Volatility_30, RSI_14, Momentum_x_Vol",56.5,Neutral,lightgbm,interactions
NXT.L,14685.0,-0.015420717398592076,0.015272676453218954,56.90168515313058,60.20833333333333,42.521929824561404,44.33443295512261,40.11092715844991,35.64593301435406,"Volatility_30, RSI_14, Trend_MA50",56.4,Neutral,lightgbm,interactions
AMD,516.1300048828125,0.024880855098165622,0.03377580559571155,85.0325841667974,50.736842105263165,47.467119153601494,28.71127261967507,32.84851188765507,62.560051888836604,"Volatility_30, Volume_MA_Ratio, RSI_14",56.0,Neutral,lightgbm,interactions
GSK.L,1770.5,-0.0028161081385524867,0.012193785062753232,62.93939282248876,57.916666666666664,24.74555870093395,14.503295167088272,17.910823745036147,19.294605809128626,"Volatility_30, RSI_x_Vol, Return_10d",55.6,Neutral,lightgbm,interactions
INF.L,889.4000244140625,0.01715461983209754,0.013857865013963029,71.77346335668537,55.833333333333336,41.17469510326653,38.95585387029987,35.25387538360559,45.622134289519444,"Volatility_30, Momentum_20, Z_Score_20",55.5,Neutral,lightgbm,interactions
ATO.PA,24.81999969482422,-0.007993635462840043,0.016247900752137324,48.6318333733258,54.22680412371134,39.93795464270433,28.2142025029956,32.243754635962134,14.715706156016012,"Volatility_30, Trend_MA50, Z_Score_20",55.1,Neutral,lightgbm,interactions
AUTO.L,489.3999938964844,0.009488461673559323,0.019367274328969276,59.455878153446164,51.666666666666664,28.978762856728963,33.344881812374076,23.98379213782755,25.882361690652885,"Volatility_30, RSI_x_Vol, Return_5d",55.0,Neutral,lightgbm,interactions
HEI.DE,154.9499969482422,0.0022638475479246356,0.01759639551984513,72.3628129395806,49.583333333333336,43.11646142653122,40.091353960939216,34.89948719984879,44.252151413974936,"Volatility_30, RSI_x_Vol, Momentum_20",54.9,Neutral,lightgbm,interactions
EXPN.L,2782.0,0.0010795250089961073,0.01977446734447184,62.41858421255385,62.70833333333333,29.60394265232975,34.22452636968766,30.748632974316486,36.76703645007924,"Volatility_30, Return_10d, Return_5d",54.5,Neutral,lightgbm,interactions
DG.PA,111.44999694824219,0.008141057183535416,0.012343461037432007,39.773645637519046,64.12371134020619,41.01476998820452,32.746286393345216,35.74176218347019,29.610357594959282,"Volatility_30, RSI_x_Vol, Return_10d",54.3,Neutral,lightgbm,interactions
INTC,102.94000244140625,0.026116454889873797,0.037745348954065394,75.83726397050161,57.05263157894736,49.792270531400966,24.594410663089537,30.31709551290396,67.55799122650527,"Volatility_30, Return_5d, RSI_x_Vol",53.7,Neutral,lightgbm,interactions
TXN,268.70001220703125,0.0381732656024385,0.020957771968541608,75.47046964414606,50.315789473684205,34.15877110694184,34.23001758843072,32.84742015831566,54.0485343584815,"Volatility_30, Return_5d, Return_10d",53.7,Neutral,lightgbm,interactions
ADBE,252.22999572753906,0.013663922643833093,0.02735239835776357,50.083974270461184,57.473684210526315,44.086195538594346,43.56247719715212,40.85070422535212,35.99611648255278,"Return_5d, Volatility_30, Return_10d",53.7,Neutral,lightgbm,interactions
BMY,63.63999938964844,-0.0017254997702206287,0.015343043662755749,43.13488091585549,53.894736842105274,38.264032885881626,37.666642725466254,37.20416177319304,29.476191316969917,"Return_5d, RSI_14, Volatility_30",53.2,Neutral,lightgbm,interactions
AMAT,456.489990234375,0.005462391611211981,0.029214870833123442,61.09491319873468,46.10526315789474,39.46423863706552,27.6656299909021,29.652185652185654,35.03965121002578,"Volatility_30, Trend_x_Vol, Volume_MA_Ratio",53.0,Neutral,lightgbm,interactions
GLE.PA,74.72000122070312,0.011369842968507848,0.01532584632630126,55.006472673779086,54.22680412371134,57.48786032085172,29.77822585819424,36.39971809952408,44.37298187404748,"Volatility_30, Return_5d, Momentum_20",52.7,Neutral,lightgbm,interactions
JPM,356.2300109863281,0.007551797279588657,0.008477289417872994,59.0951189322132,60.21052631578948,45.303546383490286,34.79366409320326,37.038675578264,56.772546412024276,"Volatility_30, Trend_MA50, RSI_x_Vol",52.6,Neutral,lightgbm,interactions
BA.L,1898.0,-0.013257083441642892,0.0143123915747775,44.18686393887485,52.5,35.70479082321188,39.9668793195109,36.990549348783645,10.416666666666671,"Volatility_30, RSI_x_Vol, Return_10d",52.6,Neutral,lightgbm,interactions
FME.DE,38.439998626708984,-0.0012991179417325416,0.015996392744450662,33.59111450232156,60.625,44.50902898271319,37.35637973137973,39.199270872404,26.12364516975896,"Volatility_30, Trend_MA50, Z_Score_20",52.6,Neutral,lightgbm,interactions
ABBV,257.1199951171875,0.008313706341911864,0.01487781743315973,73.38291511855073,55.1578947368421,30.347222222222218,17.576411826612308,20.705967050794634,40.08600329719184,"Volatility_30, Return_5d, Return_10d",51.1,Neutral,lightgbm,interactions
ML.PA,33.459999084472656,-0.0017900170785086766,0.0112777577580791,55.14861338622657,55.051546391752574,34.64863727264823,31.900960189880248,29.176606664045146,39.67682595254434,"Volatility_30, Volume_MA_Ratio, Trend_MA50",51.1,Neutral,lightgbm,interactions
MC.PA,415.29998779296875,0.02164818645256772,0.01654875912447514,63.193716707893145,53.402061855670105,28.0605136028477,19.188922224408156,20.49091327352197,30.665264506960042,"Volatility_30, Volume_MA_Ratio, RSI_14",51.0,Neutral,lightgbm,interactions
