Ticker,Latest Price ($),Daily Return,Volatility,Predicted Prob Up (%),Accuracy (%),Precision (%),Recall (%),F1 Score (%),RSI_14,Top Features,Score,Rating
AAPL,333.0799865722656,0.0024377692400032736,0.014129327777995207,48.7614631652832,56.631578947368425,47.5,20.00184915516723,26.191325014854424,70.52344784581248,"Trend_MA50, Momentum_20, Volatility_30",36.6,Below Average
MSFT,505.4100036621094,0.019732459058061425,0.016365330570996605,49.79375898838043,51.368421052631575,31.03661638144397,40.59781281520412,33.793498168498175,60.23061008556026,"Volatility_30, RSI_14, Z_Score_20",38.0,Below Average
GOOGL,349.3900146484375,0.032171387439992705,0.018458812863795217,58.17195177078247,55.1578947368421,48.538571623279275,18.45726575092457,22.987770986557233,51.05640630847781,"Momentum_20, Trend_MA50, Volatility_30",49.9,Below Average
AMZN,253.5399932861328,-0.012617826577485336,0.01787227185625527,66.93231463432312,62.73684210526316,51.329231594886245,36.62938567888352,41.88356471115092,40.84958215902346,"RSI_14, Volatility_30, Momentum_20",58.4,Neutral
META,665.5999755859375,0.027112858192892997,0.023483834537131466,39.70450758934021,55.31914893617021,43.74944806608007,48.472620946305156,45.57211963699369,84.78001942352445,"Trend_MA50, Momentum_20, Z_Score_20",34.7,Below Average
NVDA,210.9600067138672,-0.03357912317427003,0.026891850191992993,21.54172956943512,60.63157894736842,61.464646464646464,36.14852889046438,42.811729165338576,51.640219435989756,"Momentum_20, Volatility_30, Trend_MA50",42.5,Below Average
TSLA,358.9700012207031,-0.01770468798565783,0.028592781940851096,61.69018745422363,58.315789473684205,54.391458704694,48.17930506106153,48.76093244514298,54.125488428126516,"Volatility_30, Z_Score_20, Return_5d",57.3,Neutral
AMD,493.4100036621094,-0.04401991941131522,0.03462492711257712,56.19910955429077,50.94736842105263,49.06213295748179,23.63617621336714,26.738771335786264,60.36061879011879,"Momentum_20, RSI_14, Return_10d",43.9,Below Average
NFLX,80.31999969482422,0.03772607379043791,0.022201517760146724,48.76427352428436,54.315789473684205,33.27878787878788,30.713314136843547,28.69919484702093,50.76166396357689,"Volatility_30, Trend_MA50, Return_5d",43.0,Below Average
INTC,97.19000244140625,-0.055857779907018346,0.03925882164306831,52.22498178482056,58.526315789473685,54.63935574229693,29.760684327931717,35.38591185310724,62.54104968088155,"Trend_MA50, RSI_14, Volume_MA_Ratio",46.6,Below Average
AVGO,344.7200012207031,-0.04770847117206256,0.02531107379802731,64.44339156150818,54.73684210526316,45.88603744264121,31.916901916901917,34.480671117959254,40.533975288828536,"RSI_14, Volatility_30, Trend_MA50",53.4,Neutral
ORCL,144.7899932861328,-0.03653184414265764,0.034296643531892074,46.293529868125916,56.0,46.52926687916546,24.128184386235237,27.384227277844303,51.98170392887916,"Volatility_30, Trend_MA50, Momentum_20",45.5,Below Average
ADBE,265.6000061035156,0.053007218025008296,0.028924254019793177,34.72233712673187,57.05263157894736,41.706255073452134,32.72896078081455,32.60837469323042,44.37058977150617,"Volatility_30, RSI_14, Return_10d",40.6,Below Average
CRM,259.42999267578125,0.04727107781920781,0.04679247990207734,27.6547908782959,56.63157894736842,43.668767507002805,41.29823813961745,39.35084506008059,74.57792989085503,"Volatility_30, Return_10d, Return_5d",29.2,Below Average
CSCO,110.05999755859375,-0.018460712971801296,0.022792362839605264,78.96591424942017,55.789473684210535,42.98346905587811,33.36552364092144,36.310484397440916,49.488857539368496,"Return_10d, Volatility_30, Momentum_20",58.9,Neutral
QCOM,180.14999389648438,-0.010001688805900133,0.0232063668244932,40.2134507894516,53.26315789473684,37.49741200828157,33.145911373415615,32.29585483084635,79.2478356542166,"RSI_14, Z_Score_20, Trend_MA50",31.0,Below Average
TXN,263.4200134277344,-0.019650162037315733,0.02116105407144749,59.94330048561096,50.73684210526316,25.343569474004255,21.766127169683944,22.494505494505496,54.190059579501266,"Z_Score_20, Trend_MA50, RSI_14",43.8,Below Average
AMAT,424.2099914550781,-0.07071348653827747,0.031587697136625084,89.83430862426758,46.526315789473685,41.98082788671024,22.921195459421835,25.629094916655184,29.159124749512927,"Trend_MA50, RSI_14, Volatility_30",69.6,Above Average
NOW,142.35000610351562,0.07409648694385096,0.0383146134275637,14.381323754787445,62.73684210526316,48.608636977058026,29.85665478312537,36.30268169860832,60.17069874181197,"Return_10d, Trend_MA50, Z_Score_20",30.9,Below Average
INTU,339.1499938964844,0.05466923584866801,0.02854965077144699,55.41180968284607,50.315789473684205,30.67246267246268,33.04347826086956,27.179051801533365,36.395778216017774,"RSI_14, Momentum_20, Volatility_30",49.0,Below Average
JPM,350.1300048828125,-0.017123784957437937,0.009056365920975638,15.705075860023499,60.21052631578948,43.45969498910675,26.87826107892848,30.78107699757491,41.21277182713414,"Trend_MA50, Volatility_30, RSI_14",33.8,Below Average
BAC,59.470001220703125,-0.051363813631254196,0.013212985937737735,34.91892218589783,57.684210526315795,46.81955018161914,17.385492949222293,23.9947288368341,32.93555162452441,"Trend_MA50, Volatility_30, Volume_MA_Ratio",45.8,Below Average
WFC,88.70999908447266,-0.017499189445494556,0.013057813418640603,66.78249835968018,55.78947368421052,43.61329923273657,21.568796304586947,28.539270855644475,65.47709732770096,"Trend_MA50, Z_Score_20, Momentum_20",48.1,Below Average
GS,988.4500122070312,-0.03957523404874108,0.016791975730019885,52.082568407058716,53.263157894736835,33.98801198801199,15.514445203918887,21.055888555888554,37.056882547428,"Trend_MA50, Volatility_30, RSI_14",48.1,Below Average
MS,206.5800018310547,-0.036384004450515595,0.015125527298000908,51.12280249595642,57.89473684210526,35.269841269841265,19.700363093420204,24.29181929181929,37.99616674465381,"Trend_MA50, Volatility_30, Momentum_20",49.5,Below Average
BLK,1065.5999755859375,-0.013013521521244908,0.014470826765592448,24.775491654872894,58.73684210526316,46.15942028985507,14.969180723491068,19.363132991039965,21.495953104657403,"Trend_MA50, Volatility_30, Return_10d",46.1,Below Average
C,136.17999267578125,-0.019017537164305542,0.014057419009036941,43.3343231678009,55.578947368421055,46.000814000814,15.747135994087213,22.754200837451236,63.22653397747203,"Return_10d, Trend_MA50, Volatility_30",38.4,Below Average
SCHW,107.30999755859375,0.0005594177957459756,0.012040835916489082,43.09509992599487,55.578947368421055,33.51943755169562,32.19981821217237,30.98726130128164,30.834330059397644,"Trend_MA50, Volatility_30, Return_10d",46.4,Below Average
AXP,327.7799987792969,0.009516758491657784,0.01153995792209682,35.219553112983704,58.10526315789474,35.18518518518518,29.167449690705507,30.265953654188944,36.61341131418148,"Trend_MA50, Volatility_30, Momentum_20",44.0,Below Average
USB,62.68000030517578,-0.0025461465153341356,0.010508981997454135,43.18878650665283,57.684210526315795,35.72727272727273,17.01945427408708,21.463673951426394,51.923094286301165,"Volatility_30, Return_5d, Trend_MA50",41.0,Below Average
PNC,242.72000122070312,-0.0062234041855336875,0.010295994614146832,41.435033082962036,60.0,35.871428571428574,15.51670388203853,20.163719862227328,48.1721418543896,"Volatility_30, Return_10d, Return_5d",40.6,Below Average
TFC,50.099998474121094,-0.005952441322918833,0.011341699182927012,42.810824513435364,59.578947368421055,25.726495726495727,17.54520358868185,20.036052434487363,44.64553568808591,"Momentum_20, Trend_MA50, Volatility_30",38.5,Below Average
SPGI,418.5400085449219,0.01906458876761996,0.017228310346259566,25.915026664733887,60.21052631578948,36.35425101214575,32.70114624797287,31.916609706083385,41.69290898670803,"Volatility_30, Trend_MA50, Volume_MA_Ratio",36.3,Below Average
ICE,157.75,0.0022236729166953406,0.013074504775324576,30.935660004615784,57.894736842105274,37.43093004556419,41.32716065388287,33.72608726317846,39.54507343525757,"Volatility_30, Trend_MA50, Momentum_20",43.4,Below Average
CME,280.4599914550781,0.01785578412419242,0.012585181895673113,30.434787273406982,62.10526315789474,39.38128176171655,24.429541167027264,29.83910349056191,51.65424256275712,"Volume_MA_Ratio, RSI_14, Momentum_20",38.9,Below Average
AON,311.5400085449219,0.029237854016102682,0.022374649926630456,83.91796946525574,63.1578947368421,35.18353576248313,22.22843315184513,26.70934555640438,26.64506278851877,"Trend_MA50, Return_5d, Momentum_20",69.0,Above Average
CB,341.8500061035156,0.010643033565456372,0.009981686386829863,45.9902822971344,58.73684210526316,25.132243487506646,16.045502645502644,18.264207462813733,44.907908484788855,"Trend_MA50, Volatility_30, Momentum_20",39.2,Below Average
PGR,221.02000427246094,0.015623606431212966,0.015446477393490485,52.543872594833374,63.1578947368421,33.03030303030303,25.28626139152455,28.333495005585924,45.09141324032741,"Return_10d, RSI_14, Momentum_20",46.2,Below Average
JNJ,266.32000732421875,0.0027864326732758293,0.012281532059301516,30.79841136932373,57.684210526315795,29.88095238095238,10.646115627822946,14.403839356119311,41.181116300603215,"Trend_MA50, Momentum_20, Volatility_30",33.5,Below Average
PFE,27.719999313354492,0.0,0.013856858126903134,25.80789625644684,64.21052631578948,19.726495726495727,6.696139109932213,9.895810955961332,46.63073039571027,"Trend_MA50, Momentum_20, Return_10d",29.6,Below Average
MRK,144.85000610351562,0.006392089728002759,0.027426403746269732,43.66903305053711,57.05263157894738,41.535005224660395,30.496522496522495,34.43957168407813,39.76753335540545,"Z_Score_20, Volatility_30, Momentum_20",49.4,Below Average
LLY,1138.280029296875,0.020238486253659094,0.02093247686147893,61.29102110862732,53.89473684210526,38.50718954248366,28.006719761075164,31.144102696734272,16.280791293918156,"Trend_MA50, Momentum_20, Volatility_30",59.6,Neutral
