Ticker,Latest Price ($),Daily Return,Volatility,Predicted Prob Up (%),Accuracy (%),Precision (%),Recall (%),F1 Score (%),RSI_14,Top Features,Score,Rating,Model
ALFA.L,141.8000030517578,-0.004213419034011512,0.02513231052492475,94.72246170043945,65.00000000000001,41.60626040626041,32.24534534534534,35.389621318373074,1.4869944356474747,"Trend_MA50, Trend_x_Vol, Return_10d",76.6,Top Ranked,xgboost
GFRD.L,478.04998779296875,-0.02538228788385577,0.022551110540340116,84.53665971755981,61.666666666666664,53.782732693803474,31.582068311195446,36.648511826830756,20.333466870994172,"RSI_x_Trend, Trend_x_Vol, Volatility_30",75.1,Top Ranked,xgboost
ADBE,234.83999633789062,-0.02507476097013661,0.02392161099049367,85.90198755264282,59.789473684210535,53.091556295217615,38.67693724215464,35.98847745313967,15.477208087559887,"Trend_x_Vol, Momentum_20, Volatility_30",75.0,Top Ranked,xgboost
TEAM,65.12000274658203,-0.044180164805230904,0.04234267414034568,89.95640873908997,57.89473684210526,46.80980392156863,34.81481481481482,36.458840253259595,21.360863211691736,"Volatility_30, Trend_MA50, Trend_x_Vol",74.7,Top Ranked,xgboost
UCG.MI,59.65999984741211,-0.009299258750238848,0.023848270989484003,94.24902200698853,53.125,42.70727747861894,33.20730386968846,36.57130294597876,21.70686176282483,"Volatility_30, Trend_x_Vol, Return_10d",74.5,Top Ranked,xgboost
APP,381.20001220703125,-0.0255872280020647,0.04877212538271005,78.90201210975647,52.63157894736842,61.94339804887473,38.179770314471476,44.1220190703914,16.968591694999148,"Z_Score_20, Momentum_x_Vol, RSI_x_Trend",74.2,Top Ranked,xgboost
AFRM,42.529998779296875,-0.030102616664929638,0.036771563495635144,86.04958057403564,54.10526315789474,51.703420135705116,34.50462941314005,39.12928157984338,27.227711242049295,"Trend_MA50, RSI_x_VoL, Return_10d",74.0,Top Ranked,xgboost
HWM,227.89999389648438,-0.011322722105544858,0.018813968053992935,77.18645334243774,58.94736842105264,61.727922077922074,28.3884654415589,37.846083788706736,27.534221914723673,"Return_10d, RSI_x_Trend, Trend_MA50",73.8,Top Ranked,xgboost
FSV.L,395.5,-0.0037783375314861534,0.014999031865069309,91.15179777145386,72.5,36.57142857142857,19.189110029976902,23.627950593467837,18.803418803418808,"RSI_x_Trend, Volatility_30, Momentum_x_Vol",73.6,Top Ranked,xgboost
INGA.AS,21.68000030517578,-0.00184157502040605,0.017608989603490492,83.97446274757385,61.237113402061844,48.21984228473998,28.370734370734375,34.261366519166025,27.39187234614849,"Momentum_20, Volatility_30, Trend_x_Vol",73.0,Top Ranked,xgboost
WEIR.L,2770.0,0.005809731299927456,0.028515635527786045,90.24705290794373,62.08333333333333,53.66009852216748,29.667813547639337,37.283408574547806,33.47442658364572,"Trend_x_Vol, Return_10d, Trend_MA50",72.5,Top Ranked,xgboost
BAB.L,1153.0,-0.0017316017316016952,0.021570178030284454,86.45830750465393,53.75,47.01344269765322,32.5304508628866,34.11524214768798,16.153846153846146,"Z_Score_20, RSI_x_VoL, Trend_MA50",72.2,Top Ranked,xgboost
VOE.VI,37.540000915527344,-0.01469809923940335,0.034588193204778246,83.17679762840271,56.875,47.687512899896795,30.057495164580416,34.51614505712867,28.910888247062587,"RSI_14, Momentum_20, Return_10d",71.7,Top Ranked,xgboost
HD,321.6499938964844,-0.020643665105184006,0.015699028817766126,88.6288583278656,62.10526315789474,35.57963875205255,27.988234591495463,30.66603746769992,27.177798604948208,"Trend_x_Vol, Volatility_30, Z_Score_20",71.4,Top Ranked,xgboost
JMG.L,140.60000610351562,-0.009859111947073118,0.016267803558109074,92.43755340576172,72.0,56.65200391006842,27.90954659375712,32.224007314524556,47.36843011009284,"Trend_MA50, RSI_x_Trend, Volatility_30",70.4,Top Ranked,xgboost
HUBS,230.7899932861328,-0.05826912152164743,0.0429439294765623,76.12598538398743,58.94736842105262,48.01505248564072,43.5853111005024,41.33510233953857,19.88826181826289,"Volatility_30, Return_10d, Trend_x_Vol",70.4,Top Ranked,xgboost
IR,79.44999694824219,-0.023835882245417328,0.01919213256261448,81.16544485092163,57.894736842105274,45.18181818181817,30.612064652769057,32.50590741241073,29.713002843953518,"Volatility_30, RSI_x_VoL, Trend_x_Vol",70.2,Top Ranked,xgboost
KGX.DE,44.279998779296875,-0.008952585567296167,0.03459413463516489,79.26533222198486,52.57731958762887,59.76965140123035,19.08111729540301,20.395533307662685,28.59033435024928,"Trend_x_Vol, RSI_14, RSI_x_Trend",70.2,Top Ranked,xgboost
RR.L,1101.5,-0.006314839873703182,0.028046012715036147,82.88789391517639,55.36842105263158,47.50445632798574,18.30054479418886,24.722393812338858,23.175416133162614,"RSI_x_Trend, Volatility_30, Return_10d",69.8,Above Average,xgboost
ROKU,87.1500015258789,-0.02111644703128024,0.03520480116202213,81.10711574554443,56.421052631578945,62.156473371589655,29.123401266258405,37.18282828282828,30.236796154080437,"Volatility_30, Z_Score_20, Trend_MA50",69.8,Above Average,xgboost
HAS.L,33.20000076293945,0.0024155143005657465,0.027585025233342674,91.65975451469421,54.583333333333336,27.995055477114,43.08042681955725,32.58130799489608,25.21553239059365,"Trend_x_Vol, RSI_x_Trend, RSI_x_VoL",69.5,Above Average,xgboost
DHR,181.52000427246094,-0.034724800177214576,0.01644255607347509,90.37351608276367,58.31578947368422,30.174201529464682,24.205223405223403,25.81159420289855,27.546803350585364,"Trend_x_Vol, Trend_MA50, RSI_x_Trend",69.2,Above Average,xgboost
NOW,99.41000366210938,-0.04081431640727662,0.02776216272019888,81.12327456474304,57.26315789473684,40.51367677921231,33.36797840396041,33.5063633114815,15.160895953422923,"Volatility_30, Trend_x_Vol, Z_Score_20",69.1,Above Average,xgboost
ANTO.L,3260.0,-0.001837109614207022,0.04328176395227765,87.41056323051453,52.291666666666664,40.047619047619044,16.450412332765275,20.780921459492887,28.45246356696738,"Momentum_x_Vol, Volatility_30, RSI_x_Trend",68.6,Above Average,xgboost
CAML.L,158.4149932861328,0.005171238268111944,0.05116008691503206,92.97841191291809,51.25,30.355555555555554,19.576518218623484,22.947593760479783,24.203573778537006,"Volatility_30, Z_Score_20, Trend_x_Vol",68.5,Above Average,xgboost
SAP.DE,145.4600067138672,0.0203423765778441,0.018659075819652194,86.6916298866272,51.54639175257732,34.489803448869644,40.54593554593554,31.794128762804412,15.256195203540528,"Trend_x_Vol, RSI_x_Trend, Return_10d",68.4,Above Average,xgboost
REL.L,2424.0,0.012954450480568314,0.02039915059499631,73.52814078330994,61.25,40.09555865721226,59.544807044807044,43.71203909413409,23.969072164948443,"Return_10d, Z_Score_20, Momentum_20",68.2,Above Average,xgboost
PST.MI,19.760000228881836,-0.001768115548229976,0.01724463005097373,75.38038492202759,58.125,47.31327006327006,25.202408702408704,30.132886793554853,20.365139643732746,"Volatility_30, Trend_x_Vol, RSI_x_Trend",68.1,Above Average,xgboost
INF.L,740.0,-0.008574523318225502,0.017083668000225594,68.48254799842834,62.5,52.36353133724848,34.39992257065428,33.32148119139704,29.82143411830677,"Z_Score_20, RSI_x_Trend, Trend_MA50",68.0,Above Average,xgboost
EMR,125.4000015258789,-0.007204465602912435,0.01988584152947957,90.67009687423706,56.210526315789465,28.618442489410235,18.064935064935064,21.289520371664334,15.826089552535862,"Z_Score_20, Trend_x_Vol, Trend_MA50",67.9,Above Average,xgboost
CARL-B.CO,788.2000122070312,-0.010544769817156574,0.013785985830983121,87.42808699607849,60.8421052631579,27.07942057942058,26.58719630083948,26.284734519492936,19.158876838720246,"RSI_x_Trend, Momentum_x_Vol, Trend_MA50",67.9,Above Average,xgboost
HOOD,66.0199966430664,-0.06154942324053525,0.03870370323691372,74.01102781295776,49.473684210526315,52.0166770544129,35.34874003760111,36.15125453201774,28.968127478529837,"RSI_x_VoL, Volatility_30, Momentum_20",67.9,Above Average,xgboost
LLY,878.239990234375,-0.02091416919244704,0.019345985490334096,71.42030596733093,55.78947368421052,46.5287037037037,40.007514777381026,41.65294354768039,15.416889395181798,"Volatility_30, Momentum_x_Vol, RSI_x_Trend",67.6,Above Average,xgboost
