Ticker,Latest Price ($),Daily Return,Volatility,Predicted Prob Up (%),Accuracy (%),Precision (%),Recall (%),F1 Score (%),RSI_14,Top Features,Score,Rating,Model,Feature_Set
NOW,83.0,-0.07582672022845538,0.03228710095505675,85.27392148971558,57.684210526315795,36.76559044670499,33.356833728884546,32.797947857016915,17.122955485845395,"Volatility_30, Trend_x_Vol, Return_10d",69.8,Above Average,xgboost,interactions
LAND.L,581.0,-0.005136986301369828,0.02053766975651644,87.71396279335022,64.42105263157895,51.78213507625272,20.9718608339298,28.59839234839235,58.19672131147541,"Trend_x_Vol, Volatility_30, Trend_MA50",65.2,Above Average,xgboost,interactions
HLN.L,364.1000061035156,-0.0008232376454264667,0.017881189045545944,79.20606136322021,66.29213483146067,42.12703962703962,25.263788630724115,31.256410256410255,35.50863307624766,"Trend_x_Vol, RSI_x_Trend, Volatility_30",65.2,Above Average,xgboost,interactions
ADBE,225.35000610351562,-0.019961713008419424,0.023142449423028268,63.54553699493408,59.78947368421052,49.51388888888889,37.45177423195999,36.029458804106696,28.294002937867816,"Trend_x_Vol, Momentum_x_Vol, Momentum_20",65.2,Above Average,xgboost,interactions
SAP.DE,139.3800048828125,-0.0008601800515233293,0.022192063774728828,78.24298739433289,48.333333333333336,30.596078431372547,41.262042284614104,29.873209053736435,25.786752442732933,"Trend_x_Vol, RSI_x_Trend, Volatility_30",63.1,Above Average,xgboost,interactions
CPG.L,27.56999969482422,-0.018511942148058846,0.19903154178380345,72.63535261154175,60.8421052631579,22.76849096018043,36.7053998632946,27.936139332365748,0.8755360651724544,"RSI_x_Trend, Volatility_30, Trend_x_Vol",61.1,Above Average,xgboost,interactions
BA.L,2194.0,-0.033054208902600246,0.025649008042440167,78.84528636932373,59.789473684210535,42.9269631678575,50.296223981032746,42.88767302634481,41.629955947136565,"Trend_x_Vol, Momentum_x_Vol, RSI_x_Trend",60.7,Above Average,xgboost,interactions
CRM,164.9600067138672,-0.0344746805925179,0.023297415180024653,58.88233780860901,58.526315789473685,40.73809523809524,28.574755415362624,30.921104325154467,22.030138796720962,"Volatility_30, Trend_MA50, Z_Score_20",60.1,Above Average,xgboost,interactions
AV.L,626.5999755859375,-0.0071304075013186585,0.021468916986122608,74.47688579559326,64.84210526315789,53.616666666666674,16.720237946044396,23.384822813394244,53.216913930274025,"Trend_x_Vol, Momentum_x_Vol, Volatility_30",59.7,Neutral,xgboost,interactions
HO.PA,259.20001220703125,-0.033557045452528356,0.02339131563878805,89.19745087623596,54.63917525773195,28.829749960184746,32.177941106512534,29.69559095195649,56.85210896393003,"Volume_MA_Ratio, Volatility_30, Trend_MA50",58.3,Neutral,xgboost,interactions
HEI.DE,189.6999969482422,0.029579359284896523,0.030493173715576666,85.69032549858093,56.666666666666664,47.55108139498384,31.957608429306543,34.954531076314225,69.65919226542547,"Volatility_30, Trend_x_Vol, Momentum_x_Vol",57.7,Neutral,xgboost,interactions
GLE.PA,71.4000015258789,0.0071942748006983415,0.03488785722237736,84.26448702812195,50.72164948453608,55.32658517952636,26.466165413533833,31.954224791449445,65.74225096969838,"Trend_x_Vol, Volatility_30, Momentum_20",57.5,Neutral,xgboost,interactions
AHT.L,53.720001220703125,-0.9899999997727656,0.18252844550054606,49.023234844207764,57.204301075268816,41.718098901419125,30.19166501925123,32.2946445587955,9.524931756257828,"Volatility_30, Momentum_x_Vol, RSI_14",56.3,Neutral,xgboost,interactions
CME,295.29998779296875,-0.012143327774906787,0.015589976768094888,63.54632377624512,62.315789473684205,35.34415584415584,19.050818763013886,23.48660111818007,39.52593996679123,"RSI_x_Trend, Volatility_30, Volume_MA_Ratio",55.2,Neutral,xgboost,interactions
