market,week_start,picks,hit_rate,avg_return_5d_pct,avg_pick_prob_up,avg_pick_score
core,2026-03-23,15,,,87.40315278371175,71.7
core,2026-03-30,2,,,81.89914226531982,71.45
core,2026-05-04,3,,,87.21334139506023,70.7
core,2026-05-11,2,,,88.65615427494049,71.75
core,2026-05-18,1,,,85.11270880699158,71.9
core,2026-06-29,2,,,87.05931305885315,72.7
core,2026-08-17,1,,,75.93241930007935,70.0
europe,2026-03-23,11,,,85.82905530929565,71.5
europe,2026-03-30,8,,,83.63142386078835,71.75
europe,2026-04-27,12,,,88.127967218558,71.72500000000001
europe,2026-05-04,4,,,80.80868124961853,72.4
europe,2026-05-11,1,,,72.45975136756897,70.1
europe,2026-05-18,1,,,82.58782625198364,75.1
europe,2026-06-01,3,,,81.79733355840047,71.3
europe,2026-06-08,4,,,83.38854163885117,71.35
europe,2026-06-15,5,,,78.0271589756012,70.78
europe,2026-06-22,12,,,82.02554136514664,71.23333333333333
europe,2026-06-29,9,,,86.41235563490126,71.16666666666667
europe,2026-07-06,6,,,88.92259200414021,72.76666666666667
europe,2026-07-13,4,,,81.72285556793213,71.0
europe,2026-07-20,6,,,81.10993603865306,70.86666666666666
europe,2026-07-27,12,,,82.79790778954823,71.41666666666667
europe,2026-08-03,10,,,83.25674176216125,72.17
europe,2026-08-10,11,,,88.24896866625005,74.37272727272727
europe,2026-08-17,11,,,88.46182877367193,73.71818181818182
europe,2026-08-24,1,,,91.0696029663086,71.5
ftse,2026-03-23,32,,,86.84131857007742,72.58125
ftse,2026-03-30,24,,,86.69572944442432,71.825
ftse,2026-04-06,2,,,85.18349230289459,71.7
ftse,2026-04-20,7,,,86.62190011569432,71.38571428571429
ftse,2026-04-27,9,,,90.19318222999573,74.15555555555555
ftse,2026-05-04,10,,,93.16429734230042,76.53
ftse,2026-05-11,13,,,91.2363928097945,74.92307692307692
ftse,2026-05-18,5,,,91.86371803283691,74.8
ftse,2026-06-01,3,,,82.39096601804097,71.60000000000001
ftse,2026-06-08,18,,,84.64464479022556,71.83333333333333
ftse,2026-06-15,3,,,76.86037421226501,71.33333333333333
ftse,2026-06-22,2,,,84.30371880531311,70.15
ftse,2026-06-29,4,,,81.15488737821579,71.25
ftse,2026-07-06,3,,,75.20984212557475,70.93333333333334
ftse,2026-07-20,6,,,81.7053606112798,71.48333333333333
ftse,2026-07-27,4,,,85.5641633272171,71.45
ftse,2026-08-03,1,,,90.02291560173035,70.2
ftse,2026-08-17,2,,,79.81191277503967,70.4
us,2026-03-23,60,,,80.67948430776596,71.96166666666666
us,2026-03-30,15,,,81.13203247388203,71.49333333333334
us,2026-04-06,13,,,81.58598771462074,71.33846153846153
us,2026-04-13,8,,,83.0625668168068,71.4125
us,2026-04-20,3,,,83.79880587259929,73.63333333333333
us,2026-04-27,5,,,84.3433165550232,71.53999999999999
us,2026-05-04,10,,,86.55581653118134,72.96000000000001
us,2026-05-11,20,,,84.8506772518158,72.42999999999999
us,2026-05-18,9,,,84.83074241214328,72.24444444444445
us,2026-06-01,8,,,88.79428431391716,72.4125
us,2026-06-08,5,,,85.50599336624146,70.56
us,2026-06-15,9,,,89.20813533994887,71.62222222222222
us,2026-06-22,15,,,83.53775978088379,71.62666666666668
us,2026-06-29,8,,,82.89701715111732,71.5125
us,2026-07-06,4,,,84.00283604860306,71.875
us,2026-07-13,8,,,85.25099381804466,72.6125
us,2026-07-20,15,,,89.64405814806621,72.56666666666666
us,2026-07-27,16,,,86.58305145800114,71.76875
us,2026-08-03,6,,,86.0437164704005,71.98333333333333
us,2026-08-10,1,,,81.61167502403259,70.8
us,2026-08-24,2,,,79.30712699890137,71.65
